room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6865619,35975768,Entire home/apt,,Brighton,0,0.0,2,1.0,100.0,,42.338298,-71.154123,2017-01-14 09:16:13.499916
10496192,33821088,Entire home/apt,,South End,0,0.0,2,1.0,89.0,,42.341448,-71.075356,2017-01-14 09:16:03.816353
16186033,4095682,Entire home/apt,,East Boston,0,0.0,2,1.0,80.0,,42.378063,-71.032612,2017-01-14 09:14:56.810280
13651290,34576871,Entire home/apt,,Mission Hill,9,5.0,2,0.0,90.0,,42.328439,-71.097907,2017-01-14 09:14:54.436030
14707780,48532923,Entire home/apt,,Brighton,2,0.0,2,0.0,79.0,,42.340762,-71.162035,2017-01-14 09:14:33.210288
13111691,50399243,Entire home/apt,,Brighton,2,0.0,4,1.0,70.0,,42.34528,-71.147701,2017-01-14 09:14:33.201369
12463555,67325902,Entire home/apt,,Jamaica Plain,9,5.0,4,2.0,75.0,,42.306834,-71.113312,2017-01-14 09:14:30.850513
11512755,10138187,Entire home/apt,,Allston,0,0.0,4,2.0,75.0,,42.352725,-71.120651,2017-01-14 09:14:30.846642
10123024,28564205,Entire home/apt,,Allston,0,0.0,2,1.0,75.0,,42.350145,-71.128847,2017-01-14 09:14:30.843944
2837932,14517564,Entire home/apt,,Back Bay,0,0.0,2,0.0,65.0,,42.345003,-71.080106,2017-01-14 09:14:30.838518
15126511,12243051,Entire home/apt,,Downtown,6,4.5,2,0.0,69.0,,42.355447,-71.059997,2017-01-14 09:14:29.683040
10074653,49453306,Entire home/apt,,Jamaica Plain,3,5.0,2,1.0,75.0,,42.32139,-71.108852,2017-01-14 09:14:24.007365
16124247,1182631,Entire home/apt,,Roslindale,3,5.0,3,1.0,74.0,,42.274253,-71.13407,2017-01-14 09:14:23.985148
12306135,66356498,Entire home/apt,,North End,0,0.0,6,2.0,45.0,,42.362539,-71.053727,2017-01-14 09:14:22.689308
1961034,10133129,Entire home/apt,,Brighton,1,0.0,2,1.0,57.0,,42.340011,-71.155426,2017-01-14 09:14:22.681782
13318312,48291778,Entire home/apt,,Dorchester,0,0.0,4,1.0,49.0,,42.315948,-71.041298,2017-01-14 09:14:22.679416
12679021,38001139,Entire home/apt,,South Boston Waterfront,0,0.0,4,2.0,3000.0,,42.348358,-71.039875,2017-01-14 09:14:19.408128
12972378,71380118,Entire home/apt,,Fenway,1,0.0,4,1.0,4000.0,,42.347934,-71.09758,2017-01-14 09:14:19.405179
8303267,4552954,Entire home/apt,,South End,2,0.0,8,5.0,1200.0,,42.342415,-71.074519,2017-01-14 09:14:18.004959
15126802,47172884,Entire home/apt,,Beacon Hill,2,0.0,6,4.0,900.0,,42.357209,-71.071721,2017-01-14 09:14:15.746299
15188419,95459395,Entire home/apt,,Downtown,0,0.0,5,2.0,800.0,,42.352276,-71.063623,2017-01-14 09:14:15.739241
15232621,95459395,Entire home/apt,,Fenway,0,0.0,5,2.0,800.0,,42.34493,-71.09974,2017-01-14 09:14:15.736745
6640662,32079650,Entire home/apt,,South Boston,1,0.0,9,3.0,1000.0,,42.336417,-71.047694,2017-01-14 09:14:15.734188
15268842,95459395,Entire home/apt,,Chinatown,0,0.0,5,2.0,800.0,,42.351563,-71.062661,2017-01-14 09:14:15.731963
7633883,814298,Entire home/apt,,Beacon Hill,7,5.0,6,3.0,769.0,,42.357378,-71.071351,2017-01-14 09:14:15.729273
15189894,95459395,Entire home/apt,,South Boston Waterfront,0,0.0,5,2.0,800.0,,42.352383,-71.047151,2017-01-14 09:14:15.727244
15718623,95459395,Entire home/apt,,Fenway,0,0.0,5,2.0,800.0,,42.345251,-71.097636,2017-01-14 09:14:15.725186
15232882,95459395,Entire home/apt,,Fenway,0,0.0,5,2.0,800.0,,42.344891,-71.100311,2017-01-14 09:14:15.723047
15285175,95459395,Entire home/apt,,South Boston Waterfront,0,0.0,5,2.0,800.0,,42.35252,-71.045123,2017-01-14 09:14:15.718805
15285541,95459395,Entire home/apt,,South Boston Waterfront,0,0.0,7,3.0,914.0,,42.351379,-71.045496,2017-01-14 09:14:15.711321
15190108,95459395,Entire home/apt,,South Boston Waterfront,0,0.0,7,3.0,914.0,,42.352244,-71.045823,2017-01-14 09:14:14.270726
5989418,5809176,Entire home/apt,,Back Bay,0,0.0,6,2.0,975.0,,42.351257,-71.084352,2017-01-14 09:14:14.268563
