room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
3520353,1309,6508758,Entire home/apt,,Boston,,Beacon Hill,108,5.0,3,1.0,,248.0,,Luxury Beacon Hill Apartment 1-BR,2017-06-10 12:57:03.877854,42.357799,-71.063035,0101000020E610000037E0F3C308C451C050C58D5BCC2D4540
17955648,1309,122207883,Entire home/apt,,Boston,,Downtown,0,0.0,2,1.0,,275.0,,Premier Downtown Boston Apt - Price Reduced!!!,2017-06-10 12:57:03.871490,42.358588,-71.05417,0101000020E6100000289B728577C351C0785E2A36E62D4540
13912472,1309,82529160,Entire home/apt,,Boston,,South End,30,4.5,4,1.0,,215.0,,102 Chandler Street Apartment 3,2017-06-10 12:57:03.867909,42.347092,-71.074306,0101000020E610000062F9F36DC1C451C0045ABA826D2C4540
10427199,1309,48494513,Entire home/apt,,Boston,,South End,51,4.5,2,0.0,,219.0,,Boston Christopher Studio Suite,2017-06-10 12:57:03.854667,42.343416,-71.079516,0101000020E61000008FE046CA16C551C02976340EF52B4540
7713728,1309,34916087,Entire home/apt,,Boston,,South Boston,140,4.5,7,3.0,,275.0,,BEST OF BOSTON! 3BD NEAR BCEC!,2017-06-10 12:57:03.847969,42.332358,-71.031397,0101000020E6100000520C906802C251C03048FAB48A2A4540
15461993,1309,99209255,Entire home/apt,,Boston,,South Boston,16,5.0,2,1.0,,225.0,,Loft Style with Roofdeck,2017-06-10 12:57:03.843107,42.337333,-71.039377,0101000020E6100000BCCD1B2785C251C0486E4DBA2D2B4540
4577188,1309,5618949,Entire home/apt,,Boston,,Fenway,92,4.5,4,1.0,,209.0,,Unique Fenway/Back Bay/Copley 1 Bed,2017-06-10 12:57:03.833683,42.347153,-71.09299,0101000020E6100000B936548CF3C551C0A9DA6E826F2C4540
5526487,1309,28662210,Entire home/apt,,Boston,,Mission Hill,49,5.0,6,3.0,,285.0,,$149 Special! *Penthouse Duplex* Close to Center,2017-06-10 12:57:02.594444,42.330851,-71.096554,0101000020E61000001213D4F02DC651C0A96C5853592A4540
9855805,1309,48494513,Entire home/apt,,Boston,,Back Bay,37,4.5,4,2.0,,229.0,,Back Bay Beacon Two Bedroom Standard,2017-06-10 12:57:02.592056,42.354825,-71.073348,0101000020E6100000874ECFBBB1C451C0CF66D5E76A2D4540
15767124,1309,59234220,Entire home/apt,,Boston,,Beacon Hill,23,5.0,4,1.0,,282.0,,"Renovated Beacon Hill 1 BR, Private Deck, Office",2017-06-10 12:57:02.589210,42.360496,-71.068562,0101000020E6100000E5EFDE5163C451C05E2BA1BB242E4540
