"room_id","host_id","room_type","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","last_modified"
15188419,95459395,"Entire home/apt","Downtown",0,0,5,2,548,42.352276,-71.063623,2017-07-10 17:24:26
10052824,30283594,"Entire home/apt","South Boston Waterfront",5,5,7,3,617,42.351651,-71.045822,2017-07-10 17:24:26
15188208,95459395,"Entire home/apt","Downtown",1,0,5,2,548,42.352137,-71.062932,2017-07-10 17:24:24
11734812,9419684,"Entire home/apt","South Boston Waterfront",7,4.5,6,3,569,42.351416,-71.045845,2017-07-10 17:24:24
10053032,30283594,"Entire home/apt","South Boston Waterfront",4,4.5,7,3,617,42.351948,-71.046554,2017-07-10 17:24:24
115936,228845,"Entire home/apt","Jamaica Plain",9,4,12,4,550,42.315576,-71.113057,2017-07-10 17:24:23
12362389,2025724,"Entire home/apt","Back Bay",0,0,4,2,600,42.354574,-71.072428,2017-07-10 17:24:23
18788498,38191116,"Entire home/apt","Mattapan",0,0,12,6,600,42.27047,-71.075567,2017-07-10 17:24:23
15284016,95459395,"Entire home/apt","Chinatown",0,0,5,2,594,42.348741,-71.059628,2017-07-10 17:24:21
15285175,95459395,"Entire home/apt","South Boston Waterfront",1,0,5,2,617,42.35252,-71.045123,2017-07-10 17:24:21
14300921,605252,"Shared room","Roxbury",53,4.5,2,1,39,42.325997,-71.078774,2017-07-10 18:45:42
13264687,73947522,"Shared room","Brighton",6,4,2,1,40,42.356393,-71.163964,2017-07-10 18:45:41
2219558,3945988,"Shared room","Back Bay",11,5,2,1,40,42.351091,-71.086933,2017-07-10 18:45:41
16702101,22541573,"Entire home/apt","West End",0,0,4,2,514,42.362983,-71.064072,2017-07-10 17:24:21
19403335,136022286,"Entire home/apt","Back Bay",0,0,3,1,592,42.350773,-71.079828,2017-07-10 17:24:21
6544715,33986390,"Entire home/apt","South Boston",19,4.5,10,5,700,42.336763,-71.045216,2017-07-10 17:24:21
17134180,115175098,"Entire home/apt","Beacon Hill",0,0,4,2,650,42.358611,-71.069133,2017-07-10 17:24:21
12270833,66095644,"Entire home/apt","Allston",0,0,5,2,524,42.362546,-71.133947,2017-07-10 17:24:21
19028994,132787859,"Entire home/apt","Charlestown",0,0,8,3,650,42.37632,-71.066276,2017-07-10 17:24:21
18388606,95459395,"Entire home/apt","Chinatown",0,0,5,2,599,42.351321,-71.061896,2017-07-10 17:24:20
18389483,95459395,"Entire home/apt","Chinatown",0,0,5,2,599,42.351393,-71.061339,2017-07-10 17:24:20
18520843,95459395,"Entire home/apt","Fenway",0,0,5,2,599,42.343295,-71.100452,2017-07-10 17:24:20
18502823,95459395,"Entire home/apt","Fenway",0,0,5,2,599,42.344637,-71.100637,2017-07-10 17:24:20
18503888,95459395,"Entire home/apt","Fenway",0,0,5,2,599,42.344857,-71.100219,2017-07-10 17:24:20
19372540,135797366,"Entire home/apt","Fenway",0,0,2,1,592,42.346482,-71.088915,2017-07-10 17:24:17
19376491,135821542,"Entire home/apt","Downtown",0,0,2,1,595,42.353062,-71.063498,2017-07-10 17:24:17
19369772,135782497,"Entire home/apt","Back Bay",0,0,2,1,595,42.352068,-71.07549,2017-07-10 17:24:17
19372011,135793455,"Entire home/apt","Downtown",0,0,2,1,595,42.351244,-71.068367,2017-07-10 17:24:17
8389735,41456680,"Entire home/apt","Downtown",0,0,4,2,600,42.352815,-71.063713,2017-07-10 17:24:17
19364977,135741799,"Entire home/apt","Back Bay",0,0,2,1,514,42.351798,-71.074398,2017-07-10 17:24:17
19393479,135961993,"Entire home/apt","Back Bay",0,0,2,1,586,42.349537,-71.076164,2017-07-10 17:24:17
1628130,333220,"Entire home/apt","Jamaica Plain",1,0,10,4,650,42.311712,-71.118184,2017-07-10 17:24:17
2649521,13563081,"Entire home/apt","South Boston Waterfront",9,5,6,3,600,42.343165,-71.053388,2017-07-10 17:24:15
5919529,24196977,"Entire home/apt","Back Bay",15,5,6,3,550,42.35037,-71.070345,2017-07-10 17:24:15
11970702,6201198,"Entire home/apt","South Boston",5,5,4,2,700,42.3379,-71.043219,2017-07-10 17:24:15
7527149,10502779,"Entire home/apt","Beacon Hill",25,5,7,4,700,42.357034,-71.070562,2017-07-10 17:24:15
743211,2796082,"Entire home/apt","Jamaica Plain",52,5,10,4,575,42.305813,-71.112597,2017-07-10 17:24:14
12441,25188,"Entire home/apt","Back Bay",38,4.5,6,3,583,42.353842,-71.07268,2017-07-10 17:24:14
5783197,4552954,"Entire home/apt","South End",49,5,5,3,650,42.342896,-71.074232,2017-07-10 17:24:14
17015212,108172638,"Entire home/apt","South End",3,5,7,2,532,42.344576,-71.06405,2017-07-10 17:24:14
5088560,21609039,"Entire home/apt","South End",49,5,4,2,550,42.341445,-71.080511,2017-07-10 17:24:14
19071169,133144559,"Entire home/apt","Charlestown",0,0,2,1,600,42.374866,-71.060523,2017-07-10 17:24:14
18690288,17406884,"Entire home/apt","South Boston",7,5,14,5,525,42.335879,-71.03358,2017-07-10 17:24:14
13216268,22304512,"Entire home/apt","Downtown",39,4.5,8,3,600,42.349629,-71.056301,2017-07-10 17:24:14
19454877,95459395,"Entire home/apt","Mission Hill",0,0,3,0,354,42.329978,-71.110711,2017-07-10 17:24:11
19455243,95459395,"Entire home/apt","Mission Hill",0,0,3,0,354,42.328944,-71.110376,2017-07-10 17:24:11
19450658,95459395,"Entire home/apt","Jamaica Plain",0,0,3,0,354,42.329183,-71.111032,2017-07-10 17:24:11
19455477,95459395,"Entire home/apt","Mission Hill",0,0,3,1,365,42.330069,-71.110654,2017-07-10 17:24:11
19453190,95459395,"Entire home/apt","Mission Hill",0,0,3,1,365,42.32866,-71.110006,2017-07-10 17:24:11
19590313,95459395,"Entire home/apt","Jamaica Plain",0,0,3,1,365,42.3288,-71.112359,2017-07-10 17:24:11
12618291,68502098,"Entire home/apt","West Roxbury",6,5,8,5,300,42.280757,-71.153214,2017-07-10 17:24:06
18897397,51020712,"Entire home/apt","Dorchester",0,0,9,4,351,42.312785,-71.06019,2017-07-10 17:24:04
15358576,90526463,"Entire home/apt","Dorchester",3,0,8,4,399,42.312818,-71.048054,2017-07-10 17:24:04
6053700,31247560,"Entire home/apt","Jamaica Plain",7,4.5,6,3,450,42.309835,-71.114579,2017-07-10 17:23:58
4526315,4705050,"Entire home/apt","Jamaica Plain",42,5,11,5,500,42.313592,-71.122621,2017-07-10 17:23:58
1929406,9991368,"Entire home/apt","Jamaica Plain",2,0,6,4,335,42.312742,-71.112014,2017-07-10 17:23:54
12209652,65660258,"Entire home/apt","Jamaica Plain",0,0,6,3,500,42.30466,-71.108893,2017-07-10 17:23:54
2592416,13271600,"Entire home/apt","Jamaica Plain",7,5,10,4,500,42.307037,-71.103368,2017-07-10 17:23:52
16362002,1480518,"Entire home/apt","Jamaica Plain",1,0,8,4,350,42.295456,-71.119385,2017-07-10 17:23:52
7611271,953185,"Entire home/apt","South Boston",18,5,7,4,494,42.331816,-71.033987,2017-07-10 17:23:51
6576530,14785487,"Entire home/apt","Roxbury",6,4,12,3,485,42.311336,-71.085128,2017-07-10 17:23:49
12102482,30283594,"Entire home/apt","Mission Hill",0,0,3,1,354,42.335179,-71.101492,2017-07-10 17:23:44
17264839,105840819,"Entire home/apt","Allston",3,5,6,4,319,42.362403,-71.134777,2017-07-10 17:23:39
4040151,9419684,"Entire home/apt","Fenway",16,4.5,5,2,376,42.345171,-71.100497,2017-07-10 17:23:32
15726469,95459395,"Entire home/apt","West End",0,0,3,1,354,42.364841,-71.06761,2017-07-10 17:23:04
3359170,25188,"Entire home/apt","Chinatown",1,0,4,2,399,42.35194,-71.060077,2017-07-10 17:22:44
15561714,25188,"Entire home/apt","South Boston Waterfront",0,0,6,3,449,42.351542,-71.047202,2017-07-10 17:22:42
10050765,30283594,"Entire home/apt","South Boston Waterfront",4,5,5,2,419,42.353242,-71.047196,2017-07-10 17:22:41
1776190,25188,"Entire home/apt","Back Bay",1,0,2,1,349,42.34632,-71.078073,2017-07-10 17:22:34
15249493,9419684,"Entire home/apt","Chinatown",0,0,3,1,311,42.351207,-71.061426,2017-07-10 17:22:34
9857,25188,"Entire home/apt","Back Bay",24,4.5,4,2,342,42.35429,-71.072772,2017-07-10 17:22:34
13545797,73223944,"Entire home/apt","Downtown",1,0,4,2,350,42.351067,-71.063122,2017-07-10 17:22:34
18945706,4962900,"Entire home/apt","Back Bay",0,0,4,1,313,42.345136,-71.07976,2017-07-10 17:22:32
1948096,10074105,"Entire home/apt","Back Bay",3,4.5,4,2,385,42.343271,-71.081267,2017-07-10 17:22:31
4181163,9419684,"Entire home/apt","Fenway",9,5,5,2,409,42.343458,-71.100635,2017-07-10 17:22:07
14685903,2953540,"Entire home/apt","West Roxbury",3,4.5,4,2,329,42.299553,-71.129138,2017-07-10 17:22:05
7825207,14785487,"Entire home/apt","Mission Hill",0,0,8,3,500,42.334173,-71.100226,2017-07-10 17:22:05
10152056,30283594,"Entire home/apt","West End",0,0,3,1,319,42.364808,-71.06893,2017-07-10 17:22:04
6444138,9419684,"Entire home/apt","Fenway",3,4.5,5,2,376,42.343543,-71.098486,2017-07-10 17:22:00
